Epocs,softmax_lr_avg,softmax_lr_median,softmax_lr_std,softmax_lr_var,softmax_lr_max,softmax_lr_min,sgd_avg,sgd_median,sgd_std,sgd_var,sgd_max,sgd_min,sgd_lr_avg,sgd_lr_median,sgd_lr_std,sgd_lr_var,sgd_lr_max,sgd_lr_min
0,6.068157058324873,3.954897165298462,3.7088486845185367,13.75555856465488,16.648561477661133,3.6616008281707764,4.463065567964352,4.471724033355713,0.06035877691052221,0.003643181950134189,4.553952217102051,4.33120584487915,4.463065567964352,4.471724033355713,0.06035877691052221,0.003643181950134189,4.553952217102051,4.33120584487915
1,3.740315115970114,3.738668203353882,0.030868172258318092,0.0009528440585691988,3.822704315185547,3.6364858150482178,4.074242113539891,4.048314094543457,0.14224518232537178,0.02023369189477826,4.346905708312988,3.8375189304351807,4.074242113539891,4.048314094543457,0.14224518232537178,0.02023369189477826,4.346905708312988,3.8375189304351807
2,3.8580515991826974,3.7833075523376465,0.1682015228717523,0.028291752296376614,4.437930107116699,3.630174160003662,3.8231339336182018,3.8214783668518066,0.03817292889947034,0.0014571725007640178,3.935696601867676,3.722642660140991,3.8231339336182018,3.8214783668518066,0.03817292889947034,0.0014571725007640178,3.935696601867676,3.722642660140991
3,6.472638570003628,4.506954669952393,4.435800039772587,19.676321992846486,22.54188346862793,3.804685354232788,3.7671582832099486,3.7647969722747803,0.026930929207086594,0.0007252749479571097,3.8448946475982666,3.6667003631591797,3.7671582832099486,3.7647969722747803,0.026930929207086594,0.0007252749479571097,3.8448946475982666,3.6667003631591797
4,15.625723980968784,15.995645523071289,7.694743677800147,59.20908026704533,27.756580352783203,4.345606327056885,3.747677666800363,3.745836019515991,0.02594294078047694,0.0006730361763393334,3.815936326980591,3.6446425914764404,3.747677666800363,3.745836019515991,0.02594294078047694,0.0006730361763393334,3.815936326980591,3.6446425914764404
5,3.8509688525466443,3.8005146980285645,0.15999486265227456,0.0255983560751202,4.835071086883545,3.6612799167633057,3.737924503243488,3.7355542182922363,0.02530907533749252,0.0006405492944388722,3.802309513092041,3.6379778385162354,3.737924503243488,3.7355542182922363,0.02530907533749252,0.0006405492944388722,3.802309513092041,3.6379778385162354
6,3.757932021751167,3.7539186477661133,0.041745668992617696,0.0017427008796412026,3.8689064979553223,3.6453611850738525,3.7320258543358085,3.7294538021087646,0.025288753854208597,0.0006395210714987502,3.795255661010742,3.628892183303833,3.7320258543358085,3.7294538021087646,0.025288753854208597,0.0006395210714987502,3.795255661010742,3.628892183303833
7,3.728732423012301,3.7219669818878174,0.030679010665177923,0.0009412016953941008,3.8355836868286133,3.6372084617614746,3.7284954023657377,3.7265708446502686,0.02536269066656467,0.0006432660778478465,3.791088104248047,3.6290981769561768,3.7284954023657377,3.7265708446502686,0.02536269066656467,0.0006432660778478465,3.791088104248047,3.6290981769561768
8,3.72829624732829,3.7216227054595947,0.030756092357353878,0.0009459372170940816,3.823274612426758,3.632631540298462,3.72566923295489,3.7242560386657715,0.025274752353537402,0.0006388131065326444,3.790339708328247,3.6290230751037598,3.72566923295489,3.7242560386657715,0.025274752353537402,0.0006388131065326444,3.790339708328247,3.6290230751037598
9,3.7323531215975745,3.7274129390716553,0.03158060566727419,0.0009973346543118709,3.819774627685547,3.6245405673980713,3.723480246822286,3.7222752571105957,0.025072100259369214,0.0006286102114158619,3.786653757095337,3.625908136367798,3.723480246822286,3.7222752571105957,0.025072100259369214,0.0006286102114158619,3.786653757095337,3.625908136367798
10,3.737352128354659,3.73372220993042,0.031119048017689232,0.0009683951495272482,3.819633722305298,3.624418020248413,3.7219790434985427,3.721235752105713,0.025068145037814342,0.0006284118956368958,3.7846124172210693,3.623424768447876,3.7219790434985427,3.721235752105713,0.025068145037814342,0.0006284118956368958,3.7846124172210693,3.623424768447876
11,3.7434145397281053,3.737945079803467,0.0322009112080665,0.0010368986826297826,3.825349807739258,3.624316453933716,3.7206024116610887,3.7189483642578125,0.025083107228263152,0.0006291622682245472,3.782014846801758,3.623379945755005,3.7206024116610887,3.7189483642578125,0.025083107228263152,0.0006291622682245472,3.782014846801758,3.623379945755005
12,4.331589518126494,4.086211204528809,0.601059080171496,0.3612720178566049,5.66154146194458,3.651291608810425,3.71939860663799,3.71773099899292,0.02507505064354026,0.0006287581647761089,3.7836337089538574,3.6208231449127197,3.71939860663799,3.71773099899292,0.02507505064354026,0.0006287581647761089,3.7836337089538574,3.6208231449127197
13,4.683897071743604,4.548715114593506,0.6284801737797318,0.39498732883420185,7.717141151428223,3.7338080406188965,3.7181402259731886,3.716059684753418,0.025069325640405354,0.0006284710880646853,3.7844619750976562,3.6222095489501953,3.7181402259731886,3.716059684753418,0.025069325640405354,0.0006284710880646853,3.7844619750976562,3.6222095489501953
14,32.80410412972018,34.59791564941406,12.125667409101911,147.03181011615627,50.201847076416016,6.33139181137085,3.717042899279861,3.715388059616089,0.025015401934284778,0.0006257703339338185,3.7806408405303955,3.6173086166381836,3.717042899279861,3.715388059616089,0.025015401934284778,0.0006257703339338185,3.7806408405303955,3.6173086166381836
15,9.30717284634987,6.116504669189453,6.486083220413108,42.06927554212448,28.233903884887695,3.7879178524017334,3.7159847117358855,3.7147328853607178,0.025169928051627814,0.0006335252781241208,3.781151294708252,3.6159794330596924,3.7159847117358855,3.7147328853607178,0.025169928051627814,0.0006335252781241208,3.781151294708252,3.6159794330596924
16,3.7591116206246133,3.733199119567871,0.07838364799558883,0.006143996273096378,4.076845645904541,3.6381988525390625,3.7151528545047925,3.7133219242095947,0.02510418709366335,0.0006302202096336536,3.780486822128296,3.616568088531494,3.7151528545047925,3.7133219242095947,0.02510418709366335,0.0006302202096336536,3.780486822128296,3.616568088531494
17,3.714748533616155,3.7114856243133545,0.02834846373754968,0.000803635396279169,3.8175547122955322,3.6382882595062256,3.71376315407131,3.7123939990997314,0.02491749322642187,0.0006208814686887797,3.7766010761260986,3.615537405014038,3.71376315407131,3.7123939990997314,0.02491749322642187,0.0006208814686887797,3.7766010761260986,3.615537405014038
18,3.716374569057678,3.7130823135375977,0.02832112233500973,0.0008020859703145868,3.8171050548553467,3.640678644180298,3.712546087940287,3.710430383682251,0.025142809695480557,0.000632160879383151,3.7772281169891357,3.6128950119018555,3.712546087940287,3.710430383682251,0.025142809695480557,0.000632160879383151,3.7772281169891357,3.6128950119018555
19,3.7193366192882844,3.7160167694091797,0.028864830170686667,0.0008331784207825832,3.81489634513855,3.641573667526245,3.711611547825499,3.709538221359253,0.024919265733708958,0.0006209698047072015,3.7780449390411377,3.6120855808258057,3.711611547825499,3.709538221359253,0.024919265733708958,0.0006209698047072015,3.7780449390411377,3.6120855808258057
20,3.721218594853182,3.718057155609131,0.02895572613858364,0.0008384340762126558,3.8122942447662354,3.6359591484069824,3.710101918404147,3.7087485790252686,0.025193419012974116,0.0006347083615632857,3.772893190383911,3.612133026123047,3.710101918404147,3.7087485790252686,0.025193419012974116,0.0006347083615632857,3.772893190383911,3.612133026123047
21,3.723640385621823,3.7197399139404297,0.029706277081683774,0.0008824628980537707,3.8119540214538574,3.63067364692688,3.7087468908440253,3.707200527191162,0.02510731542226656,0.0006303772877131842,3.771749496459961,3.610353946685791,3.7087468908440253,3.707200527191162,0.02510731542226656,0.0006303772877131842,3.771749496459961,3.610353946685791
22,3.72603410223256,3.7227511405944824,0.03086034078278791,0.0009523606332298028,3.8040847778320312,3.619051933288574,3.706620050513226,3.7049248218536377,0.025235760981647995,0.0006368436323228675,3.772700309753418,3.608168363571167,3.706620050513226,3.7049248218536377,0.025235760981647995,0.0006368436323228675,3.772700309753418,3.608168363571167
23,3.731333797762853,3.728799343109131,0.03149984338613711,0.0009922401333511655,3.8166885375976562,3.6142213344573975,3.704591660766128,3.7026827335357666,0.02533915384155428,0.0006420727174059551,3.7699389457702637,3.605917453765869,3.704591660766128,3.7026827335357666,0.02533915384155428,0.0006420727174059551,3.7699389457702637,3.605917453765869
24,3.735315047435879,3.729513168334961,0.032069754502831276,0.0010284691538718668,3.8108818531036377,3.6107585430145264,3.700914788690413,3.69953989982605,0.024988477129330496,0.0006244239892430732,3.7679169178009033,3.602854013442993,3.700914788690413,3.69953989982605,0.024988477129330496,0.0006244239892430732,3.7679169178009033,3.602854013442993
25,3.784806763903695,3.772508382797241,0.06105664197763316,0.0037279135295848753,4.128775119781494,3.6247830390930176,3.6956844700049167,3.69297194480896,0.025220196559799842,0.0006360583145149398,3.7627573013305664,3.5966007709503174,3.6956844700049167,3.69297194480896,0.025220196559799842,0.0006360583145149398,3.7627573013305664,3.5966007709503174
26,3.8138308317764946,3.789168119430542,0.10025481820050251,0.010051028572415811,4.1860671043396,3.625624895095825,3.6854324326011705,3.6828181743621826,0.025699049156092838,0.000660441127527276,3.756446123123169,3.5895588397979736,3.6854324326011705,3.6828181743621826,0.025699049156092838,0.000660441127527276,3.756446123123169,3.5895588397979736
27,5.708187732637299,3.805222749710083,4.137249749364519,17.116835488616772,26.663358688354492,3.6178526878356934,3.6646544992553522,3.6605136394500732,0.02730139381005765,0.0007453661039718541,3.754706382751465,3.569632053375244,3.6646544992553522,3.6605136394500732,0.02730139381005765,0.0007453661039718541,3.754706382751465,3.569632053375244
28,37.245570964694764,39.28078842163086,10.227740942492671,104.60668478674087,54.892086029052734,14.332316398620605,3.645963249739653,3.6429944038391113,0.02796013591623267,0.0007817692004542042,3.7489569187164307,3.5513267517089844,3.645963249739653,3.6429944038391113,0.02796013591623267,0.0007817692004542042,3.7489569187164307,3.5513267517089844
29,5.3925587242434485,4.191143989562988,2.433583369522265,5.9223280164153405,14.220932006835938,3.641240358352661,3.6327279665455317,3.628939390182495,0.028830294315961156,0.0008311858703449422,3.7541680335998535,3.5374879837036133,3.6327279665455317,3.628939390182495,0.028830294315961156,0.0008311858703449422,3.7541680335998535,3.5374879837036133
30,3.7123195843666976,3.70926833152771,0.027783639666830513,0.000771930633136278,3.814880609512329,3.6386280059814453,3.6191252403377745,3.6151955127716064,0.029408298740154014,0.0008648480347901441,3.752455472946167,3.5274906158447266,3.6191252403377745,3.6151955127716064,0.029408298740154014,0.0008648480347901441,3.752455472946167,3.5274906158447266
31,3.7150655918239806,3.7108356952667236,0.028458810111003565,0.0008099038729341587,3.8159492015838623,3.6417436599731445,3.6044169064634337,3.601231098175049,0.029802721874814368,0.0008882022311475389,3.748924732208252,3.513517379760742,3.6044169064634337,3.601231098175049,0.029802721874814368,0.0008882022311475389,3.748924732208252,3.513517379760742
32,3.7182069876179193,3.7137558460235596,0.0290094862445379,0.0008415502921720337,3.8127553462982178,3.641641855239868,3.5895126932156014,3.58575177192688,0.029878191608784865,0.0008927063338112622,3.740257740020752,3.50052809715271,3.5895126932156014,3.58575177192688,0.029878191608784865,0.0008927063338112622,3.740257740020752,3.50052809715271
33,3.7200416600482065,3.716259717941284,0.029381076424133637,0.0008632476518407814,3.817939519882202,3.6341705322265625,3.57514738888474,3.5714452266693115,0.030104169320430158,0.0009062610104731283,3.735189437866211,3.483509063720703,3.57514738888474,3.5714452266693115,0.030104169320430158,0.0009062610104731283,3.735189437866211,3.483509063720703
34,3.721994462220565,3.719970226287842,0.029514934393926044,0.0008711313522777585,3.8139681816101074,3.625758409500122,3.5614273577743436,3.55755615234375,0.029986540239781152,0.0008991925955520142,3.7303242683410645,3.4731898307800293,3.5614273577743436,3.55755615234375,0.029986540239781152,0.0008991925955520142,3.7303242683410645,3.4731898307800293
35,3.725228300746183,3.7222132682800293,0.029417583186919727,0.0008653942005593423,3.810312509536743,3.617051839828491,3.548388645515679,3.5447373390197754,0.030278197863424023,0.0009167692658566552,3.7256019115448,3.4640188217163086,3.548388645515679,3.5447373390197754,0.030278197863424023,0.0009167692658566552,3.7256019115448,3.4640188217163086
36,3.735209610151208,3.730034828186035,0.03230551120608383,0.0010436460542864081,3.824230432510376,3.6152257919311523,3.5365816910074366,3.5328643321990967,0.030540738998739707,0.0009327367385891405,3.7173547744750977,3.449948310852051,3.5365816910074366,3.5328643321990967,0.030540738998739707,0.0009327367385891405,3.7173547744750977,3.449948310852051
37,3.733119715815005,3.7290585041046143,0.03207784124815361,0.001028987899141745,3.8127617835998535,3.6190249919891357,3.5264198424653235,3.5232701301574707,0.030535331737060082,0.0009324064842923087,3.7110469341278076,3.4371466636657715,3.5264198424653235,3.5232701301574707,0.030535331737060082,0.0009324064842923087,3.7110469341278076,3.4371466636657715
38,3.739175996424989,3.737363338470459,0.031792247656750795,0.0010107470110681765,3.8142263889312744,3.607011318206787,3.5166110799919745,3.5124588012695312,0.030846234169285894,0.0009514901624264206,3.706209421157837,3.4309754371643066,3.5166110799919745,3.5124588012695312,0.030846234169285894,0.0009514901624264206,3.706209421157837,3.4309754371643066
39,3.7422070029359427,3.738737106323242,0.031800198537750055,0.0010112526270403207,3.8181960582733154,3.605682611465454,3.5075544096668314,3.5042004585266113,0.03095898846738856,0.000958458966923898,3.7016913890838623,3.4189465045928955,3.5075544096668314,3.5042004585266113,0.03095898846738856,0.000958458966923898,3.7016913890838623,3.4189465045928955
40,3.846999169876857,3.7789316177368164,0.15544107375294952,0.024161927409469895,4.365213394165039,3.6650171279907227,3.498700871971083,3.496427536010742,0.030821435879268232,0.000949960909659843,3.691230535507202,3.4124929904937744,3.498700871971083,3.496427536010742,0.030821435879268232,0.000949960909659843,3.691230535507202,3.4124929904937744
41,3.8526499997014585,3.856048345565796,0.07567406597097324,0.005726564260579212,4.047248363494873,3.64292573928833,3.490432377927792,3.48773455619812,0.030933582459963697,0.0009568865238073738,3.6873795986175537,3.402907609939575,3.490432377927792,3.48773455619812,0.030933582459963697,0.0009568865238073738,3.6873795986175537,3.402907609939575
