Epocs,softmax_avg,softmax_median,softmax_std,softmax_var,softmax_max,softmax_min,sigmoid_avg,sigmoid_median,sigmoid_std,sigmoid_var,sigmoid_max,sigmoid_min
0,0.15632360769863823,0.14522947371006012,0.03954687252281894,0.0015639551263360912,0.25641605257987976,0.007019927725195885,0.13640029108302193,0.12960447371006012,0.025232324308538383,0.000636670190011257,0.21369263529777527,0.015398550778627396
1,0.38187833880045396,0.389341801404953,0.07386259663847539,0.005455683182178115,0.49509361386299133,0.19580313563346863,0.3344257292540177,0.3429196774959564,0.07643835325875424,0.005842821848910106,0.4539553225040436,0.16961050033569336
2,0.5166723861457398,0.5185688138008118,0.026892094973806537,0.0007231847720802309,0.5695953965187073,0.3619414269924164,0.48060318957204406,0.48082730174064636,0.0298800661388977,0.0008928183524649008,0.5392512083053589,0.33386170864105225
3,0.5659047107889045,0.5663496255874634,0.019046664217014685,0.0003627754177957076,0.6045441031455994,0.4275362193584442,0.5416029038266366,0.5425724387168884,0.02008497743160755,0.00040340631842818457,0.5827294588088989,0.4134208858013153
4,0.5955705013334381,0.5962409377098083,0.015784741039700366,0.000249158049690401,0.6299818754196167,0.4661080837249756,0.5790326743392471,0.5796346664428711,0.016963135501763843,0.0002877479660512008,0.6161684989929199,0.4557669162750244
5,0.6145125364664918,0.6155645847320557,0.01468142532717841,0.0002155442496375157,0.6448520421981812,0.4902626872062683,0.6030644278348603,0.6028834581375122,0.014523362320744573,0.00021092805309962318,0.6340579986572266,0.48837560415267944
6,0.6296940194153637,0.6307367086410522,0.014269778241045897,0.00020362657104862691,0.6576842069625854,0.5056612491607666,0.620292854235039,0.6213013529777527,0.01306726294581388,0.00017075336089504044,0.6499848961830139,0.5216636657714844
7,0.6439486005291435,0.6456823945045471,0.013805795871293276,0.00019059999963981847,0.6734601259231567,0.5262681245803833,0.6352258502326397,0.6355676054954529,0.01302599034812779,0.00016967642454951835,0.6631189584732056,0.5339673757553101
8,0.6564384732187164,0.6578351259231567,0.013089579430558886,0.0001713370896689103,0.6812348961830139,0.5397796034812927,0.6480936063742786,0.648777186870575,0.012559160611889157,0.00015773251527522803,0.6717995405197144,0.5405344367027283
9,0.6670783062158905,0.6679498553276062,0.012755172724220845,0.00016269443122470743,0.6890096664428711,0.5519323945045471,0.6585191828863961,0.6594203114509583,0.011934553004404146,0.00014243355541493203,0.6837258338928223,0.55298912525177
10,0.6774973180723487,0.677838146686554,0.012250005247850252,0.0001500626285723587,0.6980676054954529,0.5651419162750244,0.668626882644914,0.6696105003356934,0.011970413439206006,0.00014329079790552376,0.6911986470222473,0.5641606450080872
11,0.6865299721682294,0.6877264380455017,0.01244340818087977,0.0001548384071559856,0.7078049778938293,0.5725392699241638,0.6776984522801749,0.6788949370384216,0.011805266560214495,0.00013936431855771856,0.7030495405197144,0.5720863342285156
12,0.6952250610967601,0.6961805820465088,0.011403201205774184,0.0001300329977393698,0.7142965197563171,0.5905796885490417,0.6862763303407231,0.6873490214347839,0.011367533174528528,0.00012922081047400663,0.70923912525177,0.5863526463508606
13,0.701905550053401,0.7021437287330627,0.011676118239739358,0.0001363317371483741,0.7198067903518677,0.5889191031455994,0.6928353883464884,0.6942934989929199,0.011133463107801668,0.00012395400077278078,0.7117300629615784,0.5929951667785645
14,0.7086277644826758,0.7094655632972717,0.011279362907200809,0.00012722402759233749,0.7249395847320557,0.6021286249160767,0.6992542677044128,0.7002566456794739,0.011085584833174348,0.00012289019109350513,0.7189009785652161,0.5965428948402405
15,0.7144709048063859,0.7149758338928223,0.01118347205987546,0.00012507004731401509,0.7310537695884705,0.6060537695884705,0.7052010186710713,0.706672728061676,0.011136449621460008,0.00012402051017131675,0.7227506041526794,0.6028834581375122
16,0.7199558526832864,0.7208635210990906,0.010985823730648159,0.00012068832304087223,0.7372433543205261,0.6146588325500488,0.7100666306033638,0.7106733322143555,0.010797239429092267,0.00011658037928914469,0.7285627722740173,0.6111866235733032
17,0.7247900533379975,0.7252415418624878,0.010531036857895446,0.0001109027373023524,0.74048912525177,0.6237167716026306,0.7153195024277113,0.7158816456794739,0.01080524084027585,0.00011675322961636513,0.7340730428695679,0.612922728061676
18,0.7291258806767671,0.7292421460151672,0.011193530591576541,0.00012529512710455988,0.7466787695884705,0.6206219792366028,0.7200383714267186,0.7206370830535889,0.010344652623955333,0.00010701183791030594,0.7358092069625854,0.6244716048240662
19,0.7338808449158757,0.7348278760910034,0.010822040794291029,0.0001171165669532992,0.751207709312439,0.6280193328857422,0.7244323295836123,0.7247886657714844,0.010683946219125618,0.00011414670681316858,0.7415459156036377,0.6253774166107178
20,0.7379564616991126,0.7389039993286133,0.010491925234732104,0.00011008049513120833,0.7539251446723938,0.6330012083053589,0.7284413716807869,0.7292421460151672,0.010518201808683049,0.00011063256928818335,0.7432065010070801,0.6292270421981812
21,0.7417592165633018,0.742527186870575,0.010633934100172148,0.00011308055444680404,0.7588315010070801,0.6376811861991882,0.7320945662741335,0.7324124574661255,0.0108061389583392,0.00011677263918693621,0.7506793737411499,0.6274909377098083
