Epocs,softmax_lr_avg,softmax_lr_median,softmax_lr_std,softmax_lr_var,softmax_lr_max,softmax_lr_min,sgd_avg,sgd_median,sgd_std,sgd_var,sgd_max,sgd_min,sgd_lr_avg,sgd_lr_median,sgd_lr_std,sgd_lr_var,sgd_lr_max,sgd_lr_min
0,0.09406459075977204,0.10862016677856445,0.03970990727305628,0.001576876735634728,0.13964371383190155,0.0021890096832066774,0.1281435656135682,0.12945349514484406,0.013762506154608127,0.00018940657565562658,0.1451539844274521,0.008605072274804115,0.12925190095043515,0.12960447371006012,0.010242838516509513,0.0001049157408752908,0.14500302076339722,0.009888284839689732
1,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.1299973554122522,0.12960447371006012,0.003914265415392451,1.5321473742137436e-05,0.14522947371006012,0.12032005190849304
2,0.12585656830219563,0.12937802076339722,0.02093843201311875,0.000438417935167996,0.1451539844274521,0.009661835618317127,0.1300282985990092,0.12967994809150696,0.003913036090930126,1.5311851448921723e-05,0.14522947371006012,0.12039553374052048,0.13003251821913334,0.12967994809150696,0.00391639033070308,1.533811322242458e-05,0.14507849514484406,0.12032005190849304
3,0.09606794001511443,0.12688708305358887,0.04483608559666723,0.0020102745716316706,0.14522947371006012,0.005057367030531168,0.1299889157092349,0.12967994809150696,0.003921688313702537,1.5379639229831048e-05,0.14530494809150696,0.12024456262588501,0.12982341596243543,0.1295289844274521,0.003931196295750818,1.545430431572495e-05,0.1451539844274521,0.12039553374052048
4,0.05918577654136819,0.038722824305295944,0.04651128977310512,0.0021633000763577525,0.13971920311450958,0.0018115942366421223,0.12992796750727648,0.1295289844274521,0.003917023291493551,1.5343071466102976e-05,0.1451539844274521,0.12024456262588501,0.13060450234583446,0.13058574497699738,0.004893151554868367,2.394293213891071e-05,0.14877717196941376,0.11918780207633972
5,0.12603191413586926,0.12937802076339722,0.019038733377759125,0.0003624733686293994,0.1451539844274521,0.023475240916013718,0.12990921388686813,0.12945349514484406,0.0039223968039809026,1.53851966878796e-05,0.14507849514484406,0.12032005190849304,0.13607913598140575,0.13594505190849304,0.005230493410184151,2.7358061313979828e-05,0.15270230174064636,0.12364130467176437
6,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.12988671021802084,0.12960447371006012,0.0039281991854998475,1.543074884096167e-05,0.14492753148078918,0.12016908079385757,0.139067516563842,0.1391153335571289,0.005023318146159248,2.5233725197532776e-05,0.15828804671764374,0.12635870277881622
7,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.12992046616092232,0.12960447371006012,0.0039138110517426645,1.5317916948743022e-05,0.14530494809150696,0.12047101557254791,0.14251629675027006,0.14198370277881622,0.004968042156102904,2.4681442864815593e-05,0.1601751148700714,0.13096316158771515
8,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.1299214033143861,0.12945349514484406,0.0039306312086610055,1.5449861698499875e-05,0.1451539844274521,0.12016908079385757,0.14440946873300564,0.1445501148700714,0.005083307437331504,2.5840014502429785e-05,0.16198670864105225,0.13081219792366028
9,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.12994109492124237,0.12945349514484406,0.003913399846947399,1.5314698362087925e-05,0.14500302076339722,0.12024456262588501,0.14743488712340408,0.14764492213726044,0.005034364990811504,2.5344830860708518e-05,0.1619112342596054,0.13398249447345734
10,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.1299396882886472,0.12960447371006012,0.0039045428954042655,1.5245455222051925e-05,0.14485205709934235,0.12024456262588501,0.14993333150140986,0.14990942180156708,0.0051056607614139386,2.606777181064196e-05,0.167119562625885,0.13790760934352875
11,0.13003767517782885,0.12967994809150696,0.003915951511671242,1.5334676241760285e-05,0.1451539844274521,0.12039553374052048,0.12995094051642447,0.12960447371006012,0.003909042110540287,1.528061022197726e-05,0.14507849514484406,0.12039553374052048,0.1530211055130692,0.15315519273281097,0.004860804492129214,2.362742031070354e-05,0.16749697923660278,0.13790760934352875
12,0.12769441757646174,0.12945349514484406,0.017326004688572514,0.0003001904384684368,0.1451539844274521,0.00211352645419538,0.12995609715118173,0.12945349514484406,0.003917975225574317,1.5350529868214118e-05,0.14492753148078918,0.12024456262588501,0.15486129905496324,0.15481582283973694,0.004814195627342072,2.317647953831952e-05,0.17104469239711761,0.13783212006092072
13,0.12046913841669882,0.12930253148078918,0.028178829710828517,0.000794046443871872,0.1451539844274521,0.004830917809158564,0.12998610341585942,0.1295289844274521,0.003910852943908931,1.5294770748881154e-05,0.1451539844274521,0.12032005190849304,0.15644363031624267,0.15640096366405487,0.004868225866038168,2.3699623082763066e-05,0.17255434393882751,0.13707730174064636
14,0.045180615620479356,0.03547705337405205,0.03837539624145411,0.0014726710366886105,0.13534118235111237,0.002264492679387331,0.129977664221888,0.12945349514484406,0.003926556251290683,1.541784399454994e-05,0.1451539844274521,0.12024456262588501,0.1573550542874366,0.15738224983215332,0.005002631585720117,2.502632278244457e-05,0.174894317984581,0.13360507786273956
15,0.08884406770631578,0.1260567605495453,0.049362892910795916,0.0024366951965227057,0.13971920311450958,0.006642512045800686,0.13000673254639467,0.12960447371006012,0.0039171084657233434,1.5343738732241484e-05,0.1451539844274521,0.12032005190849304,0.15903068495833356,0.15942029654979706,0.004958942189567691,2.4591107639474403e-05,0.174894317984581,0.13798309862613678
16,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.1300170469728316,0.129755437374115,0.003928322338014301,1.5431716391342144e-05,0.14522947371006012,0.12039553374052048,0.16057691570394528,0.16108091175556183,0.004649044840010682,2.1613617924429948e-05,0.17481884360313416,0.13730373978614807
17,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.13001282661227706,0.1295289844274521,0.003918287292560928,1.535297530704445e-05,0.14507849514484406,0.12039553374052048,0.1615900768441443,0.16183574497699738,0.005220409240937854,2.725267264286934e-05,0.17519626021385193,0.1371527761220932
18,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.13002126603763295,0.12967994809150696,0.0039126901517560955,1.5309144223649135e-05,0.14507849514484406,0.12024456262588501,0.1633271258440077,0.16379830241203308,0.004814901868439247,2.3183280002699752e-05,0.18138587474822998,0.13745470345020294
19,0.1300381440553606,0.12967994809150696,0.003916131194035983,1.5336083528901694e-05,0.1451539844274521,0.12039553374052048,0.13001892183508193,0.12967994809150696,0.003919792395938265,1.5364772427255446e-05,0.1451539844274521,0.12039553374052048,0.16476833737044602,0.16523249447345734,0.004940988413997978,2.4413366507262248e-05,0.1807820051908493,0.13549214601516724
